"","date","cl","clf","clx","cma","cmcsa","cme","cmg","cmi","cms","cnp"
"1",20060126,22.8723,23.5836,46.6629,45.166,16.8496,68.3886,43.8,21.116,11.8006,8.99742
"2",20060127,23.4417,23.6216,47.0381,45.182,16.9941,67.3787,42.17,22.3403,11.745,9.11007
"3",20060130,23.1904,23.5434,46.3834,44.8607,16.7532,68.1085,45.4,22.1112,11.5862,8.96926
"4",20060131,22.9853,24.0396,47.7805,44.5796,16.7593,71.0794,47.7,21.8731,11.4988,9.00446
"5",20060201,23.1318,24.2006,47.8923,44.3868,16.8496,69.3951,46.71,22.4504,11.5464,9.02558
"6",20060202,22.9476,23.0918,50.3671,44.3466,16.2956,69.5813,44.85,21.9899,11.3162,8.98334
"7",20060203,22.8136,23.2259,49.2894,44.194,16.3377,69.7508,46.5,22.4953,11.3083,8.8707
"8",20060206,22.6587,24.1179,49.2256,44.1619,16.2474,70.0443,47.71,22.9176,11.2446,8.91294
"9",20060207,22.554,22.372,48.3154,43.937,16.1691,67.0768,46.28,22.3448,11.3241,8.9411
"10",20060208,22.5624,22.4659,48.6189,44.4109,16.2654,67.7746,45.73,22.4055,11.2367,8.92702
"11",20060209,22.5331,21.9518,48.5789,44.6278,16.0426,66.8889,44.05,22.3942,11.3558,8.86366
"12",20060210,22.6336,21.6679,48.6108,44.5555,15.9884,67.1858,42.3,22.4167,11.3718,8.9059
"13",20060213,22.6336,21.0115,48.2037,44.4993,15.7716,67.6052,41.58,22.3628,11.2288,8.99038
"14",20060214,22.7257,20.6217,48.1398,45.3909,15.9824,68.9791,43,22.6076,11.2606,8.99742
"15",20060215,22.8094,20.9465,48.9381,45.3266,15.9583,68.9808,42.7,23.3287,11.2209,9.15415
"16",20060216,22.935,19.4838,49.1936,45.7844,15.9643,68.9489,44.5,23.441,11.3956,9.21114
"17",20060217,22.9434,20.158,49.6088,45.6479,15.8439,69.3767,44,23.5311,11.5544,9.30375
"18",20060221,22.7634,20.6285,49.4171,45.415,15.8258,69.2072,43,23.7226,11.6973,9.29662
"19",20060222,22.8723,20.5657,49.0738,46.411,15.9764,70.8764,43.65,24.207,11.5862,9.35361
"20",20060223,22.8765,19.9206,48.5629,46.1218,15.9704,70.0729,45.8,24.0425,11.4035,9.37498
"21",20060224,22.8848,20.3619,49.1617,45.9853,15.9583,70.9452,46.55,24.234,11.2765,9.2895
"22",20060227,23.1946,19.5712,49.2735,46.3146,16.1631,73.074,46.55,24.5337,11.2129,9.40348
"23",20060228,22.8011,19.2665,48.6826,45.9772,16.1691,71.4266,45.61,24.3715,11.1732,9.23251
"24",20060301,22.935,19.9452,49.0259,45.921,16.4702,72.309,45.2,24.6283,11.2844,9.27525
"25",20060302,22.8303,20.1536,49.1138,45.6399,16.4943,72.6378,45.75,24.3624,11.2446,9.22538
"26",20060303,22.9727,19.6496,48.6268,45.68,16.41,72.7754,45.26,24.4548,11.2367,9.14702
"27",20060306,22.7424,19.3561,48.6347,45.2222,16.3076,71.8326,45.79,23.8263,10.8874,9.09003
