"MacroTrends Data Download"
"JNJ - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1970-01-02,0.4079,0.4090,0.3977,0.3977,1195200
1970-01-05,0.3977,0.3988,0.3875,0.3880,964800
1970-01-06,0.3880,0.3954,0.3863,0.3954,1036800
1970-01-07,0.3954,0.3965,0.3926,0.3937,331200
1970-01-08,0.3937,0.3999,0.3937,0.3965,460800
1970-01-09,0.3988,0.4045,0.3988,0.3988,748800
1970-01-12,0.3988,0.3988,0.3920,0.3920,864000
1970-01-13,0.3931,0.3988,0.3931,0.3954,849600
1970-01-14,0.3954,0.4022,0.3954,0.4011,619200
1970-01-15,0.4011,0.4022,0.4005,0.4016,1209600
1970-01-16,0.4016,0.4016,0.3999,0.4011,734400
1970-01-19,0.4005,0.4005,0.3954,0.3960,1180800
1970-01-20,0.3960,0.3960,0.3892,0.3960,763200
1970-01-21,0.3960,0.3977,0.3948,0.3977,878400
1970-01-22,0.3977,0.3988,0.3954,0.3988,360000
1970-01-23,0.3988,0.3999,0.3960,0.3965,979200
1970-01-26,0.3965,0.3965,0.3943,0.3965,979200
1970-01-27,0.3948,0.3948,0.3920,0.3920,532800
1970-01-28,0.3886,0.3886,0.3705,0.3705,1497600
1970-01-29,0.3693,0.3693,0.3501,0.3625,3585600
1970-01-30,0.3580,0.3580,0.3512,0.3580,2808000
1970-02-02,0.3620,0.3761,0.3620,0.3761,1612800
1970-02-03,0.3761,0.3920,0.3739,0.3739,2692800
1970-02-04,0.3699,0.3699,0.3529,0.3574,2793600
1970-02-05,0.3574,0.3739,0.3563,0.3739,1886400
1970-02-06,0.3716,0.3716,0.3671,0.3693,705600
1970-02-09,0.3784,0.3886,0.3784,0.3858,1684800
1970-02-10,0.3920,0.3965,0.3920,0.3931,2505600
1970-02-11,0.3920,0.3920,0.3880,0.3897,2232000
1970-02-12,0.3897,0.3897,0.3730,0.3756,3369600
1970-02-13,0.3741,0.3741,0.3625,0.3671,1540800
1970-02-16,0.3678,0.3695,0.3669,0.3669,820800
1970-02-17,0.3669,0.3672,0.3564,0.3598,1915200
1970-02-18,0.3609,0.3638,0.3609,0.3626,878400
1970-02-19,0.3626,0.3626,0.3592,0.3601,576000
1970-02-20,0.3592,0.3592,0.3519,0.3533,1396800
1970-02-24,0.3533,0.3547,0.3434,0.3456,3744000
1970-02-25,0.3456,0.3587,0.3439,0.3587,2822400
1970-02-26,0.3553,0.3553,0.3479,0.3519,1353600
1970-02-27,0.3541,0.3632,0.3541,0.3618,1627200
1970-03-02,0.3618,0.3672,0.3587,0.3587,1051200
1970-03-03,0.3587,0.3592,0.3530,0.3592,1468800
1970-03-04,0.3592,0.3655,0.3592,0.3626,734400
1970-03-05,0.3626,0.3638,0.3609,0.3621,892800
1970-03-06,0.3621,0.3621,0.3558,0.3570,907200
1970-03-09,0.3558,0.3558,0.3530,0.3547,273600
1970-03-10,0.3530,0.3530,0.3487,0.3519,1353600
1970-03-11,0.3519,0.3564,0.3507,0.3547,432000
1970-03-12,0.3550,0.3575,0.3550,0.3558,388800
1970-03-13,0.3541,0.3541,0.3519,0.3519,1339200
1970-03-16,0.3519,0.3519,0.3456,0.3462,806400
1970-03-17,0.3462,0.3473,0.3445,0.3445,1267200
1970-03-18,0.3451,0.3479,0.3451,0.3479,748800
1970-03-19,0.3490,0.3507,0.3490,0.3490,1123200
1970-03-20,0.3490,0.3490,0.3468,0.3490,518400
1970-03-23,0.3485,0.3485,0.3451,0.3462,216000
1970-03-24,0.3459,0.3459,0.3405,0.3442,1670400
1970-03-25,0.3473,0.3598,0.3473,0.3553,2275200
1970-03-26,0.3553,0.3575,0.3541,0.3553,936000
1970-03-30,0.3553,0.3570,0.3530,0.3536,1368000
1970-03-31,0.3519,0.3519,0.3485,0.3507,676800
1970-04-01,0.3496,0.3496,0.3473,0.3482,820800
1970-04-02,0.3462,0.3462,0.3416,0.3425,792000
1970-04-03,0.3425,0.3445,0.3425,0.3439,1008000
1970-04-06,0.3439,0.3456,0.3343,0.3348,2275200
1970-04-07,0.3343,0.3343,0.3246,0.3252,1526400
1970-04-08,0.3252,0.3258,0.3229,0.3246,734400
1970-04-09,0.3246,0.3326,0.3246,0.3320,820800
1970-04-10,0.3320,0.3371,0.3306,0.3314,3312000
1970-04-13,0.3314,0.3314,0.3269,0.3292,878400
1970-04-14,0.3292,0.3348,0.3246,0.3343,835200
1970-04-15,0.3343,0.3399,0.3337,0.3360,2217600
1970-04-16,0.3360,0.3360,0.3320,0.3323,1252800
1970-04-17,0.3323,0.3326,0.3314,0.3320,950400
1970-04-20,0.3320,0.3326,0.3297,0.3314,1425600
1970-04-21,0.3314,0.3337,0.3292,0.3294,518400
1970-04-22,0.3292,0.3292,0.3269,0.3272,561600
1970-04-23,0.3272,0.3275,0.3167,0.3175,763200
1970-04-24,0.3175,0.3178,0.3158,0.3161,792000
1970-04-27,0.3158,0.3158,0.3121,0.3127,705600
1970-04-28,0.3127,0.3133,0.3110,0.3110,676800
1970-04-29,0.3110,0.3224,0.3053,0.3224,2534400
1970-04-30,0.3224,0.3292,0.3224,0.3246,532800
1970-05-01,0.3246,0.3246,0.3224,0.3229,316800
1970-05-04,0.3189,0.3189,0.3127,0.3127,576000
1970-05-05,0.3116,0.3116,0.3093,0.3093,950400
1970-05-06,0.3093,0.3144,0.3093,0.3144,1166400
1970-05-07,0.3155,0.3201,0.3155,0.3189,1137600
1970-05-08,0.3189,0.3212,0.3121,0.3144,921600
1970-05-11,0.3101,0.3101,0.3065,0.3065,705600
1970-05-12,0.3065,0.3144,0.3059,0.3087,763200
1970-05-13,0.3076,0.3076,0.3059,0.3068,360000
1970-05-14,0.3068,0.3070,0.2997,0.3036,1094400
1970-05-15,0.3065,0.3178,0.3065,0.3178,676800
1970-05-18,0.3303,0.3303,0.3218,0.3218,187200
1970-05-19,0.3218,0.3235,0.3048,0.3048,657600
1970-05-20,0.3048,0.3065,0.3005,0.3005,542400
1970-05-21,0.2962,0.2962,0.2835,0.2894,1881600
1970-05-22,0.2900,0.2951,0.2797,0.2883,777600
1970-05-25,0.2866,0.2866,0.2678,0.2678,1718400
1970-05-26,0.2678,0.2695,0.2542,0.2550,1536000
1970-05-27,0.2627,0.2746,0.2627,0.2746,2001600
1970-05-28,0.2746,0.2815,0.2712,0.2797,3168000
1970-05-29,0.2797,0.2968,0.2763,0.2968,1872000
1970-06-01,0.2968,0.3070,0.2951,0.3070,1555200
1970-06-02,0.3070,0.3105,0.2985,0.3036,1190400
1970-06-03,0.3036,0.3165,0.3010,0.3165,1185600
1970-06-04,0.3165,0.3267,0.3139,0.3139,1948800
1970-06-05,0.3139,0.3139,0.3045,0.3062,796800
1970-06-08,0.3062,0.3096,0.2985,0.3087,523200
1970-06-09,0.3087,0.3096,0.3002,0.3070,652800
1970-06-10,0.3070,0.3130,0.3062,0.3062,744000
1970-06-11,0.3062,0.3130,0.3036,0.3122,628800
1970-06-12,0.3122,0.3139,0.3087,0.3122,696000
1970-06-15,0.3122,0.3190,0.3105,0.3173,374400
1970-06-16,0.3207,0.3463,0.3207,0.3412,912000
1970-06-17,0.3412,0.3412,0.3292,0.3343,974400
1970-06-18,0.3343,0.3412,0.3309,0.3412,556800
1970-06-19,0.3412,0.3463,0.3343,0.3343,1238400
1970-06-22,0.3343,0.3395,0.3207,0.3343,393600
1970-06-23,0.3309,0.3309,0.3207,0.3224,715200
1970-06-24,0.3224,0.3224,0.3139,0.3181,532800
1970-06-25,0.3181,0.3275,0.3173,0.3181,388800
1970-06-26,0.3181,0.3190,0.3087,0.3139,484800
1970-06-29,0.3139,0.3165,0.3079,0.3139,283200
1970-06-30,0.3139,0.3258,0.3139,0.3181,417600
1970-07-01,0.3181,0.3190,0.3139,0.3190,921600
1970-07-02,0.3190,0.3198,0.3148,0.3148,216000
1970-07-06,0.3156,0.3233,0.3156,0.3190,672000
1970-07-07,0.3190,0.3224,0.3070,0.3070,916800
1970-07-08,0.3070,0.3181,0.3062,0.3173,408000
1970-07-09,0.3190,0.3275,0.3190,0.3207,427200
1970-07-10,0.3207,0.3309,0.3207,0.3283,336000
1970-07-13,0.3283,0.3352,0.3250,0.3250,403200
1970-07-14,0.3250,0.3275,0.3198,0.3241,552000
1970-07-15,0.3250,0.3309,0.3250,0.3275,912000
1970-07-16,0.3275,0.3317,0.3258,0.3258,763200
1970-07-17,0.3292,0.3377,0.3292,0.3377,849600
1970-07-20,0.3377,0.3446,0.3377,0.3403,1224000
1970-07-21,0.3403,0.3438,0.3395,0.3395,1800000
1970-07-22,0.3395,0.3420,0.3377,0.3377,1872000
1970-07-23,0.3377,0.3429,0.3343,0.3360,1804800
1970-07-24,0.3352,0.3352,0.3309,0.3309,667200
1970-07-27,0.3300,0.3300,0.3224,0.3224,436800
1970-07-28,0.3241,0.3326,0.3241,0.3309,772800
1970-07-29,0.3326,0.3412,0.3326,0.3386,326400
1970-07-30,0.3386,0.3403,0.3343,0.3360,542400
1970-07-31,0.3360,0.3395,0.3360,0.3369,484800
1970-08-03,0.3360,0.3360,0.3233,0.3309,816000
1970-08-04,0.3292,0.3292,0.3241,0.3275,542400
1970-08-05,0.3275,0.3309,0.3224,0.3233,633600
1970-08-06,0.3241,0.3275,0.3241,0.3250,470400
1970-08-07,0.3250,0.3283,0.3215,0.3233,811200
