Var1	Var2	Var3
0.716217177	2	9.60939306
2.02673001	3	9.7905458
2.68315356	1	9.90746684
4.72873664	2	9.95553883
3.37940145	2	10.4285632
0.891880324	8	10.6383779
1.34018891	7	10.6407909
1.5621643	3	10.6632616
2.47389461	3	11.0043717
3.89787589	2	11.0245407
0.0313613855	3	11.120619
5.93266517	6	11.5760422
4.8700392	2	11.7400415
4.29371308	0	12.882871
2.15854729	5	13.1752678
2.49627011	3	14.1095033
5.18071905	3	14.7260695
1.60768827	3	15.3362515
1.84559053	3	16.5064202
0.787631131	3	16.5066569
0.512031988	4	18.3055266
8.08571851	3	18.9521445
0.0477078613	4	19.2649521
0.973027703	3	19.3936202
1.15514386	2	20.0546461
0.666095032	5	20.2461448
0.954296626	4	20.3712396
3.40894193	2	20.4398105
0.43407914	7	20.4765246
0.31154396	5	21.6442619
1.43930741	4	21.7658756
0.565845822	3	21.8087684
3.03116254	3	22.0164489
0.692772114	3	22.8235216
0.602624332	1	22.8424767
4.16481058	4	22.9995714
0.510060412	2	23.0255921
0.389247698	3	23.9841542
0.343021682	2	24.1965538
2.08726721	1	24.3877176
0.549878817	3	24.47587
0.820652732	0	24.5124559
0.471977731	4	24.744246
0.723068342	3	24.9349902
1.8243844	7	25.0251163
7.64599798	3	25.119978
5.92716161	0	25.8629494
3.40266631	5	25.9038615
9.50319385	4	26.0602919
0.815736877	4	26.6150325
1.43760143	2	26.903762
0.0994455693	4	27.7881409
0.865663098	4	27.8931638
1.62199376	5	28.5056169
1.09564191	4	28.6122397
2.83559499	0	29.163765
2.25512799	2	29.7113815
0.854452741	2	30.5957884
1.89977398	3	30.6779587
4.03783759	2	30.8671065
0.693633994	0	31.3053819
0.0031426702	4	32.7271739
3.82108998	1	33.1856233
0.353742685	2	35.0784699
0.000143749121	2	35.3089205
3.25448351	4	36.021291
0.609859256	2	36.115473
0.566593891	4	36.3897745
0.633310527	3	36.4911318
0.258374358	1	36.8264742
7.27513155	2	36.9720144
0.704507646	5	37.1684825
4.89072903	4	37.8971578
7.09588973	2	38.4756223
2.61293735	8	38.9718564
0.979953972	1	39.2135898
3.34949237	1	39.5338243
1.94762716	2	40.890178
4.58032714	2	41.1216134
0.767301477	1	41.5307457
2.11928841	4	42.0857371
0.716364251	1	42.1040055
0.143178451	5	42.2144816
7.61370434	5	42.3211793
1.71206211	4	42.3487289
0.515496428	3	42.3719803
0.312189242	4	42.6271149
1.27518525	3	42.7353857
3.2681049	2	43.0247304
1.13166718	4	43.0930718
2.8498972	2	43.2066328
0.0511446414	5	43.6268037
0.335878829	5	43.7543946
2.03118626	4	44.0213359
2.61691604	6	44.9321124
1.15752142	0	45.037541
0.377830882	1	45.2251447
5.40967514	2	45.6583603
7.15259615	6	45.7167154
1.16122545	5	46.1860604
9.93566866	1	46.7449748
2.24193475	0	47.1997739
5.05604814	3	47.5593953
0.184104607	4	47.575943
0.93419745	2	47.5766817
0.880229665	5	47.9682984
2.93133485	4	48.1265253
0.875963513	4	48.623022
0.214750767	3	49.4771879
3.02482494	3	49.8030284
1.00560102	1	50.4203309
2.76081707	1	50.6495022
4.02256421	2	50.7893555
1.67297287	4	50.9816686
1.6419268	5	51.2510732
0.0660604824	2	51.7568204
1.97743353	2	51.7651339
0.406075165	7	52.4929398
8.1249326	5	52.8149543
0.729062364	2	53.0524215
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
